Skill,Pot,Rank,Player,Age,Team,Transfer_Value
68.4,75.3,472,Gustav Isaksen,24,Lazio,24.0
80.2,80.6,473,Andrew Robertson,31,Liverpool,24.0
69.7,78.0,474,Lazar Samardžić,23,Atalanta,24.0
78.0,78.0,475,Jonathan Tah,29,Bayer 04,23.9
67.3,73.7,476,Folarin Balogun,23,Monaco,23.9
69.6,83.9,477,Victor Kristiansen,22,Leicester,23.9
73.7,79.0,478,Morten Frendrup,24,Genoa,23.9
71.1,76.2,479,Johnny,23,Real Betis,23.9
66.9,67.6,480,Rúben Neves,28,Al-Hilal,23.9
65.9,73.8,481,Raphael Onyedika,24,Brugge,23.8
77.1,77.1,482,Stanislav Lobotka,30,Napoli,23.8
47.9,69.8,483,Mikey Moore,17,Tottenham,23.7
69.4,69.4,484,Konstantinos Tsimikas,28,Liverpool,23.6
71.4,71.6,485,Carlos Soler,28,West Ham United,23.4
71.6,78.5,486,Neco Williams,24,Nottingham,23.4
75.1,75.1,487,Iñaki Williams,30,Athletic,23.2
75.6,75.6,488,Tomáš Souček,30,West Ham United,23.2
65.2,68.0,489,Georges Mikautadze,24,Lyon,23.2
74.9,80.4,490,James Garner,24,Everton,23.2
72.1,78.0,491,Arthur Theate,24,E. Frankfurt,23.1
67.8,73.6,492,Lorenzo Lucca,24,Udinese,23.1
76.2,79.4,493,Carlos Augusto,26,Inter,23.1
78.3,85.3,494,Maxime Estève,22,Burnley,23.0
64.5,68.7,495,Josip Šutalo,25,Ajax,23.0
55.9,68.0,496,Álex Jiménez,19,Milan,23.0
68.4,70.6,497,Matvey Safonov,26,PSG,22.9
73.8,78.6,498,Amine Adli,24,Bayer 04,22.9
72.9,77.1,499,Takehiro Tomiyasu,26,Arsenal,22.9
71.1,76.4,500,Aitor Paredes,25,Athletic,22.9
65.2,79.8,501,Alberto Moleiro,21,Las Palmas,22.8
74.8,75.2,502,Ermedin Demirović,27,VfB Stuttgart,22.8
61.8,61.8,503,Pedro,27,Flamengo,22.8
64.3,69.6,504,Fábio Vieira,24,Porto,22.8
64.5,77.3,505,Assane Diao,20,Como,22.7
72.1,73.6,506,Lewis Ferguson,25,Bologna,22.7
78.0,78.0,507,Dean Henderson,28,C. Palace,22.7
71.1,76.4,508,Raoul Bellanova,24,Atalanta,22.6
71.0,72.9,509,Kerem Aktürkoğlu,26,Benfica,22.6
70.6,72.3,510,Ritsu Doan,26,SC Freiburg,22.6
66.9,69.8,511,Andriy Lunin,26,Real Madrid,22.6
60.6,78.7,512,Paul Wanner,19,Heidenheim,22.6
75.3,75.3,513,Jordan Pickford,31,Everton,22.6
66.6,68.6,514,Gianluca Scamacca,26,Atalanta,22.6
77.2,78.9,515,Antony,25,Real Betis,22.5
69.4,69.4,516,Albert Guðmundsson,27,Fiorentina,22.5
71.4,73.9,517,Leonardo Balerdi,26,Marseille,22.5
68.7,72.2,518,Florentino,25,Benfica,22.5
64.7,67.9,519,Gabriel Sara,25,Galatasaray,22.5
61.5,79.1,520,Mateus Fernandes,20,Southampton,22.5
77.0,77.0,521,John McGinn,30,Aston Villa,22.5
69.4,74.8,522,Barış Alper Yılmaz,24,Galatasaray,22.5
70.4,76.0,523,CJ Egan-Riley,22,Burnley,22.4
62.6,80.8,524,Tom Bischof,19,Hoffenheim,22.4
61.7,67.3,525,J. Philogene,23,Ipswich Town,22.3
69.8,70.6,526,Julian Ryerson,27,Dortmund,22.3
73.5,75.8,527,Viktor Tsygankov,27,Girona,22.3
69.4,73.8,528,Amine Gouiri,25,Marseille,22.3
68.4,69.6,529,Malcom,28,Al-Hilal,22.3
69.2,71.1,530,Maximilian Mittelstädt,28,VfB Stuttgart,22.2
74.7,76.1,531,Fikayo Tomori,27,Milan,22.2
72.8,74.8,532,Yangel Herrera,27,Girona,22.2
57.7,73.7,533,Can Uzun,19,E. Frankfurt,22.1
72.4,73.4,534,Deniz Undav,28,VfB Stuttgart,22.0
66.2,79.9,535,Abdul Fatawu Issahaku,21,Leicester,21.9
78.5,78.5,536,Gianluca Mancini,29,Roma,21.8
66.1,66.1,537,Mykola Matviyenko,29,Shakhtar D.,21.8
68.9,69.7,538,Sofyan Amrabat,28,Fenerbahce,21.6
59.4,72.3,539,Orri Steinn Óskarsson,20,Real Sociedad,21.6
71.4,78.1,540,Lucas Beltrán,24,Fiorentina,21.6
70.3,70.3,541,Riccardo Orsolini,28,Bologna,21.5
71.9,72.1,542,Kristoffer Ajer,27,Brentford,21.5
67.9,79.0,543,Luka Sučić,22,Real Sociedad,21.5
66.6,66.6,544,Ramy Bensebaini,30,Dortmund,21.4
69.0,77.0,545,Luís Henrique,23,Marseille,21.4
68.0,68.1,546,Fredrik Aursnes,29,Benfica,21.4
80.6,83.4,547,Donyell Malen,26,Aston Villa,21.4
72.0,78.1,548,Koni De Winter,22,Genoa,21.4
71.2,71.2,549,Giovani Lo Celso,29,Real Betis,21.4
67.1,79.5,550,Yasin Ayari,21,Brighton,21.4
77.0,78.5,576,Jan Oblak,32,Atlético,20.7
70.5,78.5,577,Fabio Carvalho,22,Brentford,20.6
60.1,71.4,578,Martin Baturina,22,Dinamo Zagreb,20.5
69.2,70.7,579,Marcos Senesi,27,B'mouth,20.4
58.5,79.5,580,George Ilenikhena,18,Monaco,20.4
72.7,81.3,581,Konstantin Tyukavin,22,Dinamo,20.4
59.6,72.2,582,Marcos Leonardo,22,Al-Hilal,20.4
69.2,69.2,583,Ben Chilwell,28,C. Palace,20.4
75.0,77.1,584,Jaka Bijol,26,Udinese,20.4
69.3,70.8,585,Wilfred Ndidi,28,Leicester,20.3
70.5,76.0,586,Sergiño Dest,24,PSV,20.2
66.9,66.9,587,Taiwo Awoniyi,27,Nottingham,20.2
64.1,79.3,588,Dário Essugo,20,Las Palmas,20.1
72.5,75.2,589,Edon Zhegrova,26,Lille,20.1
64.8,79.8,590,Ngal'ayel Mukau,20,Lille,20.1
75.2,78.8,591,Trevoh Chalobah,25,Chelsea,20.1
64.6,81.4,592,Callum Doyle,21,Norwich,20.1
84.9,84.9,593,Kevin De Bruyne,33,Man City,20.1
67.3,74.1,594,Felipe Morato,23,Nottingham,20.0
63.0,71.9,595,Antonín Kinský,22,Tottenham,20.0
76.6,76.8,596,Mathías Olivera,27,Napoli,19.9
79.1,79.2,597,Oleksandr Zinchenko,28,Arsenal,19.9
59.8,64.3,598,Nathan Patterson,23,Everton,19.9
68.1,80.5,599,Mohamed-Ali Cho,21,Nice,19.9
63.4,71.6,600,James McAtee,22,Man City,19.8
62.5,70.5,601,Mads Hermansen,24,Leicester,19.8
72.5,76.5,602,Djed Spence,24,Tottenham,19.8
63.8,79.7,603,Ryan Flamingo,22,PSV,19.8
82.5,82.5,604,Serge Gnabry,29,Bayern,19.8
76.8,78.1,605,Julian Brandt,29,Dortmund,19.8
60.8,76.8,606,El Hadji Malick Diouf,20,Slavia Praha,19.7
65.4,69.0,607,Jake O'Brien,23,Everton,19.7
74.3,77.9,608,Nathan Tella,25,Bayer 04,19.6
72.9,74.9,609,Đorđe Petrović,25,Strasbourg,19.6
77.6,77.6,610,Marco Asensio,29,Aston Villa,19.6
69.9,78.3,611,Carlos Alcaraz,22,Everton,19.6
64.8,69.8,612,Dara O'Shea,26,Ipswich Town,19.5
54.8,72.1,613,Antoni Milambo,20,Feyenoord,19.4
59.2,61.8,614,Emmanuel Latte Lath,26,Atlanta United,19.4
56.6,60.4,615,Fotis Ioannidis,25,Panathinaikos,19.4
73.1,74.7,616,Chris Führich,27,VfB Stuttgart,19.4
62.8,67.8,617,Jack Clarke,24,Ipswich Town,19.4
64.5,65.3,618,Ludovic Blas,27,Stade Rennais,19.4
57.7,76.5,619,Romain Esse,19,C. Palace,19.4
65.8,68.5,620,Gedson Fernandes,26,Besiktas,19.3
72.4,76.5,621,Hamed Junior Traorè,25,Auxerre,19.3
68.5,70.1,622,Lloyd Kelly,26,Juventus,19.3
65.9,66.7,623,Cucho Hernández,26,Real Betis,19.3
57.2,80.0,624,Konstantinos Karetsas,17,Genk,19.3
72.7,73.6,625,Lewis Cook,28,B'mouth,19.3
