Skill,Pot,Rank,Player,Age,Team,Transfer_Value
78.2,80.3,240,Nikola Milenković,27,Nottingham,38.0
73.6,79.9,241,Mykhaylo Mudryk,24,Chelsea,37.8
78.9,85.6,242,Jadon Sancho,25,Chelsea,37.7
73.1,77.0,243,Diogo Dalot,26,Man Utd,37.4
75.8,85.4,244,Lucas Chevalier,23,Lille,37.4
71.0,75.3,245,Ferdi Kadıoğlu,25,Brighton,37.4
71.1,75.1,246,Reece James,25,Chelsea,37.3
65.9,72.2,247,Dávid Hancko,27,Feyenoord,37.3
71.3,81.0,248,Rayan Cherki,21,Lyon,37.2
79.7,79.7,249,Frenkie de Jong,27,Barcelona,37.2
73.5,76.5,250,Cheick Doucouré,25,C. Palace,37.2
73.5,76.9,276,André Onana,29,Man Utd,34.2
74.5,79.8,277,Kang-in Lee,24,PSG,34.1
73.1,77.9,278,Giorgi Mamardashvili,24,Valencia,34.1
67.6,75.0,279,Simon Adingra,23,Brighton,34.0
58.8,66.9,280,Raúl Asencio,22,Real Madrid,34.0
73.6,80.4,281,Samuele Ricci,23,Torino,33.8
75.7,79.2,282,Youssouf Fofana,26,Milan,33.8
73.3,77.7,283,Loïc Badé,25,Sevilla,33.6
75.7,77.8,284,Vitaliy Mykolenko,25,Everton,33.5
72.6,75.4,285,Hiroki Ito,25,Bayern,33.4
74.8,76.4,286,Pedro Gonçalves,26,Sporting CP,33.4
63.3,74.9,287,Álvaro Carreras,22,Benfica,33.3
74.2,80.2,288,Nathan Collins,24,Brentford,33.3
78.7,82.4,289,Ferran Torres,25,Barcelona,33.2
66.9,72.9,290,Yann Bisseck,24,Inter,33.1
74.9,78.0,291,Randal Kolo Muani,26,Juventus,33.0
75.5,77.2,292,Artem Dovbyk,27,Roma,33.0
74.9,74.9,293,Matty Cash,27,Aston Villa,32.9
75.6,88.2,294,Malo Gusto,21,Chelsea,32.8
74.0,74.0,295,Lucas Hernández,29,PSG,32.7
53.3,81.5,296,Tyler Dibling,19,Southampton,32.7
67.0,83.0,297,Lucas Bergvall,19,Tottenham,32.6
70.3,70.3,298,Denis Zakaria,28,Monaco,32.3
77.2,85.6,299,Jarrad Branthwaite,22,Everton,32.2
77.1,77.7,300,Benjamin Pavard,29,Inter,32.1
75.0,75.0,301,David Neres,28,Napoli,32.0
79.3,81.7,302,Manuel Locatelli,27,Juventus,31.9
79.5,79.5,303,Leandro Trossard,30,Arsenal,31.8
74.8,74.8,304,Jean-Philippe Mateta,27,C. Palace,31.7
70.1,77.7,305,Orkun Kökçü,24,Benfica,31.7
79.4,79.4,306,Fabián Ruiz,29,PSG,31.7
63.7,67.4,307,Josip Stanišić,25,Bayern,31.6
74.3,75.0,308,Rodrigo Bentancur,27,Tottenham,31.5
74.1,88.3,309,Eliesse Ben Seghir,20,Monaco,31.5
64.8,81.6,310,Patrick Dorgu,20,Man Utd,31.5
78.6,78.6,311,Joachim Andersen,28,Fulham,31.4
68.4,73.6,312,Mario Gila Fuentes,24,Lazio,31.4
76.7,76.7,313,Yoane Wissa,28,Brentford,31.4
70.3,71.7,314,Vangelis Pavlidis,26,Benfica,31.2
67.9,73.5,315,Felix Nmecha,24,Dortmund,31.1
77.5,77.5,316,Daniel Muñoz,28,C. Palace,30.9
70.7,71.5,317,Brais Méndez,28,Real Sociedad,30.9
74.8,81.8,318,Jonathan David,25,Lille,30.9
71.6,72.9,319,Nicolás González,27,Juventus,30.8
72.5,76.7,320,Jørgen Strand Larsen,25,Wolverhampton,30.8
